# Poppy capsule features of different species
# Data author: Dr. Daniela Lud (DL@hsrw.eu)
# Affiliation: Rhine-Waal University of Applied Sciences (https://hsrw.eu/) 
# License: CC BY-NC-ND 4.0, https://creativecommons.org/licenses/by-nc-nd/4.0/
set,species no.,species name,specimen no.,capsule length [mm],capsule width [mm],ratio length to width,mean value of ratio,standard deviation,stalk thickness [mm],cap diameter [mm],stalk hair present (Y/N),stalk hair appressed (Y/N)
A,1,Papaver somniferum,1,26.34,19.50,1.35077,1.27063,0.11333,3.35,16.56,N,N
A,1,Papaver somniferum,2,24.56,20.63,1.19050,1.27063,0.11333,3.08,16.68,N,N
A,2,Papaver orientale,3,25.49,19.97,1.27641,1.21133,0.07751,4.94,22.14,Y,Y
A,2,Papaver orientale,4,20.05,15.74,1.27382,1.21133,0.07751,4.29,19.26,Y,Y
A,2,Papaver orientale,5,18.81,15.98,1.17710,1.21133,0.07751,3.75,17.79,Y,Y
A,2,Papaver orientale,6,22.55,20.17,1.11800,1.21133,0.07751,4.63,21.78,Y,Y
A,3,Papaver dubium,7,27.20,7.79,3.49166,3.01568,0.28240,1.6,7.32,Y,Y
A,3,Papaver dubium,8,27.31,9.40,2.90532,3.01568,0.28240,1.83,8.16,Y,Y
A,3,Papaver dubium,9,20.42,6.58,3.10334,3.01568,0.28240,1.05,6.85,Y,Y
A,3,Papaver dubium,10,20.90,7.16,2.91899,3.01568,0.28240,1.16,6.98,Y,Y
A,3,Papaver dubium,11,23.44,7.75,3.02452,3.01568,0.28240,1.45,7.01,Y,Y
A,3,Papaver dubium,12,23.87,7.67,3.11213,3.01568,0.28240,1.62,7.24,Y,Y
A,3,Papaver dubium,13,20.89,8.18,2.55379,3.01568,0.28240,1.52,7.78,Y,Y
A,4,Papaver rhoeas,14,13.71,9.11,1.50494,1.54446,0.21053,1.82,9.26,Y,N
A,4,Papaver rhoeas,15,17.46,11.08,1.57581,1.54446,0.21053,2.24,10.16,Y,N
A,4,Papaver rhoeas,16,10.62,6.25,1.69920,1.54446,0.21053,1.22,6.55,Y,N
A,4,Papaver rhoeas,17,12.55,7.24,1.73343,1.54446,0.21053,1.71,8.15,Y,N
A,4,Papaver rhoeas,18,12.44,10.62,1.17137,1.54446,0.21053,1.59,8.76,Y,N
